uniqueID,area_km2,NDVI2012_MEAN,NDVI2012_STD,NDVI2012_RANGE,SL_60_MEAN,SL_60_STD,SL_60_RANGE,SP_1000_MEAN,SP_240_MEAN,Alpine_Non-Carbonate_Barrens,Alpine_Non-Carbonate_Dryas_Dwarf_Shrub,Lowland_Low_Birch-Willow_Shrub,Lowland_Water,Lowland_Wet_Sedge_Tundra,Upland_Birch-Aspen-Spruce_Forest,Upland_Dryas_Dwarf_Shrub_Tundra,Upland_Low_Birch-Willow_Shrub_Tundra,Upland_Moist_Sedge_Shrub,Upland_Shrubby_Tussock_Tundra,Cloud_Ice_Snow,Riverine_Water_Shrub_Wet_Sedge_Barrens
OKS26,41.652875,4894.950584,1266.678377,9705,2.901484592,2.908875373,30.31105614,52.18739232,-0.067333334,0,0.15314266,0.427073897,6.854751736,4.154264268,0,0,12.71084077,19.92364436,55.7762823,0,0
OKS26,41.652875,4894.950584,1266.678377,9705,2.901484592,2.908875373,30.31105614,52.18739232,-0.067333334,0,0.15314266,0.427073897,6.854751736,4.154264268,0,0,12.71084077,19.92364436,55.7762823,0,0
TC12.2,41.1984,1238.936665,1495.114613,9113,27.00015641,8.267516214,53.64094508,140.8298185,-0.203989187,35.56103092,56.49121277,0,0.167894989,0.20278226,0.750076316,0,1.641882168,1.085866295,0.298722254,3.800532031,0
TC11.1,38.0827,1137.470194,1434.569261,9022,27.04972634,8.176262475,53.64094508,168.3319321,-0.276941904,37.35849057,55.25471698,0,0.181603774,0.214622642,0.589622642,0,1.195754717,0.839622642,0.297169811,4.068396226,0
OKS16,35.6831,4817.073365,1339.200617,9705,3.019172732,3.025107299,30.31105614,55.62717303,-0.094161447,0,0.110803324,0.460841098,7.980357593,4.427096449,0,0,12.51322085,19.75069252,54.75698816,0,0
OKS16,35.6831,4817.073365,1339.200617,9705,3.019172732,3.025107299,30.31105614,55.62717303,-0.094161447,0,0.110803324,0.460841098,7.980357593,4.427096449,0,0,12.51322085,19.75069252,54.75698816,0,0
OKS16,35.6831,4817.073365,1339.200617,9705,3.019172732,3.025107299,30.31105614,55.62717303,-0.094161447,0,0.110803324,0.460841098,7.980357593,4.427096449,0,0,12.51322085,19.75069252,54.75698816,0,0
OKS25,35.5139,4814.618585,1341.859615,9705,3.029466637,3.02835881,30.31105614,55.86410906,-0.091515194,0,0.111330398,0.354233085,8.018318911,4.397550731,0,0,12.55503264,19.77632711,54.78720713,0,0
OKS25,35.5139,4814.618585,1341.859615,9705,3.029466637,3.02835881,30.31105614,55.86410906,-0.091515194,0,0.111330398,0.354233085,8.018318911,4.397550731,0,0,12.55503264,19.77632711,54.78720713,0,0
OKS25,35.5139,4814.618585,1341.859615,9705,3.029466637,3.02835881,30.31105614,55.86410906,-0.091515194,0,0.111330398,0.354233085,8.018318911,4.397550731,0,0,12.55503264,19.77632711,54.78720713,0,0
OKS62,34.605775,4804.221355,1356.666141,9705,3.058475172,3.059153944,30.31105614,56.96105361,-0.083751639,0,0.114339172,0.291045164,8.23501897,4.295514786,0,0,12.73322592,20.17306793,54.15778806,0,0
OKS62,34.605775,4804.221355,1356.666141,9705,3.058475172,3.059153944,30.31105614,56.96105361,-0.083751639,0,0.114339172,0.291045164,8.23501897,4.295514786,0,0,12.73322592,20.17306793,54.15778806,0,0
OKS62,34.605775,4804.221355,1356.666141,9705,3.058475172,3.059153944,30.31105614,56.96105361,-0.083751639,0,0.114339172,0.291045164,8.23501897,4.295514786,0,0,12.73322592,20.17306793,54.15778806,0,0
KUP8.3,30.682775,5165.772154,1210.764126,14394,9.401399125,6.594754102,45.48372269,68.75264484,-0.019567543,0.114520628,12.60901483,0.854500073,1.659080899,1.430039642,0,0,37.20745852,13.52224343,29.29085303,3.312288944,0
KUP8.2,29.8184,4387.816251,1016.057723,7398,10.35677643,8.195634904,44.66094609,138.2253866,0.252583229,0.764281183,13.94737637,0.404797148,8.092922092,4.930066761,0,0,12.34631302,26.19097967,26.18191705,7.141346706,0
