"","x"
"1","Acetate"
"var","rel.inf"
"Lowland_Wet_Sedge_Tundra","Lowland_Wet_Sedge_Tundra",20.7400353302532
"Upland_Low_Birch.Willow_Shrub_Tundra","Upland_Low_Birch.Willow_Shrub_Tundra",13.6925219293182
"Season","Season",12.7591834987105
"area_km2","area_km2",9.75208683099914
"SL_60_MEAN","SL_60_MEAN",7.57814946427952
"Lowland_Low_Birch.Willow_Shrub","Lowland_Low_Birch.Willow_Shrub",5.94274500890832
"Upland_Moist_Sedge_Shrub","Upland_Moist_Sedge_Shrub",5.82579187055325
"SP_1000_MEAN","SP_1000_MEAN",5.18559129557537
"Lowland_Water","Lowland_Water",3.96733526736678
"Alpine_Non.Carbonate_Dryas_Dwarf_Shrub","Alpine_Non.Carbonate_Dryas_Dwarf_Shrub",3.9215231652743
"Alpine_Non.Carbonate_Barrens","Alpine_Non.Carbonate_Barrens",3.83702269078602
"Upland_Shrubby_Tussock_Tundra","Upland_Shrubby_Tussock_Tundra",3.80316743411476
"NDVI2012_MEAN","NDVI2012_MEAN",2.61740190892507
"Upland_Birch.Aspen.Spruce_Forest","Upland_Birch.Aspen.Spruce_Forest",0.377444304935479
"Upland_Dryas_Dwarf_Shrub_Tundra","Upland_Dryas_Dwarf_Shrub_Tundra",0
"Riverine_Water_Shrub_Wet_Sedge_Barrens","Riverine_Water_Shrub_Wet_Sedge_Barrens",0
"x"
"1","Cr"
"var","rel.inf"
"SL_60_MEAN","SL_60_MEAN",25.1859019716433
"Upland_Shrubby_Tussock_Tundra","Upland_Shrubby_Tussock_Tundra",10.8051481258616
"SP_1000_MEAN","SP_1000_MEAN",8.00445045694147
"area_km2","area_km2",7.97500240279974
"Season","Season",7.77037505580549
"Upland_Moist_Sedge_Shrub","Upland_Moist_Sedge_Shrub",7.38211084584233
"Alpine_Non.Carbonate_Dryas_Dwarf_Shrub","Alpine_Non.Carbonate_Dryas_Dwarf_Shrub",6.80384646666205
"NDVI2012_MEAN","NDVI2012_MEAN",6.68996857957801
"Lowland_Wet_Sedge_Tundra","Lowland_Wet_Sedge_Tundra",5.91724896260975
"Lowland_Water","Lowland_Water",5.2896209023076
"Upland_Low_Birch.Willow_Shrub_Tundra","Upland_Low_Birch.Willow_Shrub_Tundra",4.81371970055596
"Alpine_Non.Carbonate_Barrens","Alpine_Non.Carbonate_Barrens",2.15825491546498
"Lowland_Low_Birch.Willow_Shrub","Lowland_Low_Birch.Willow_Shrub",1.20435161392768
"Upland_Birch.Aspen.Spruce_Forest","Upland_Birch.Aspen.Spruce_Forest",0
"Upland_Dryas_Dwarf_Shrub_Tundra","Upland_Dryas_Dwarf_Shrub_Tundra",0
"Riverine_Water_Shrub_Wet_Sedge_Barrens","Riverine_Water_Shrub_Wet_Sedge_Barrens",0
"x"
"1","Cu"
"var","rel.inf"
"Season","Season",14.5691245607862
"SL_60_MEAN","SL_60_MEAN",12.4842451620489
"Upland_Low_Birch.Willow_Shrub_Tundra","Upland_Low_Birch.Willow_Shrub_Tundra",11.9268102129705
"SP_1000_MEAN","SP_1000_MEAN",11.5434427339253
"area_km2","area_km2",10.9724791225725
"NDVI2012_MEAN","NDVI2012_MEAN",9.84729676563391
"Upland_Shrubby_Tussock_Tundra","Upland_Shrubby_Tussock_Tundra",6.95016215768138
"Lowland_Wet_Sedge_Tundra","Lowland_Wet_Sedge_Tundra",5.51952894001553
"Upland_Moist_Sedge_Shrub","Upland_Moist_Sedge_Shrub",4.14255415659393
"Alpine_Non.Carbonate_Dryas_Dwarf_Shrub","Alpine_Non.Carbonate_Dryas_Dwarf_Shrub",3.14034212109784
"Lowland_Low_Birch.Willow_Shrub","Lowland_Low_Birch.Willow_Shrub",3.0061504724272
"Alpine_Non.Carbonate_Barrens","Alpine_Non.Carbonate_Barrens",2.89203276051898
"Lowland_Water","Lowland_Water",2.17488710489694
"Upland_Birch.Aspen.Spruce_Forest","Upland_Birch.Aspen.Spruce_Forest",0.830943728830783
"Upland_Dryas_Dwarf_Shrub_Tundra","Upland_Dryas_Dwarf_Shrub_Tundra",0
"Riverine_Water_Shrub_Wet_Sedge_Barrens","Riverine_Water_Shrub_Wet_Sedge_Barrens",0
"x"
"1","Fe"
